site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Changariya;13;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;13;4;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;13;5;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;14;1;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Changariya;14;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Changariya;14;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Changariya;14;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Changariya;14;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;1;6;1900;w;1;0;5500;15000;1100;16100;com;NA;NA;NA;NA;NA;NA
Changariya;1;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Changariya;1;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Changariya;1;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;1;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;2;6;1500;w;1;0;5500;15000;1500;16500;com;NA;NA;NA;NA;NA;NA
Changariya;2;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Changariya;2;8;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Changariya;2;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;2;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Changariya;3;6;2500;w;1;0;5500;0;500;500;com;NA;NA;NA;NA;NA;NA
Changariya;3;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Changariya;3;8;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Changariya;3;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;3;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Changariya;4;6;600;g;0;1;3000;0;2400;2400;com;NA;NA;NA;NA;NA;NA
Changariya;4;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Changariya;4;8;500;g;0;1;3000;0;2500;2500;com;NA;NA;NA;NA;NA;NA
Changariya;4;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;4;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Changariya;5;6;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Changariya;5;7;2700;w;1;0;5500;0;300;300;com;NA;NA;NA;NA;NA;NA
Changariya;5;8;500;g;0;1;3000;0;2500;2500;com;NA;NA;NA;NA;NA;NA
Changariya;5;9;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Changariya;5;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Changariya;6;6;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Changariya;6;7;1500;w;1;0;5500;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Changariya;6;8;600;g;0;1;3000;0;2400;2400;com;NA;NA;NA;NA;NA;NA
Changariya;6;9;200;g;0;1;3000;13000;2800;15800;com;NA;NA;NA;NA;NA;NA
Changariya;6;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;7;6;700;w;1;0;5500;0;2300;2300;com;NA;NA;NA;NA;NA;NA
Changariya;7;7;2700;w;1;0;5500;0;300;300;com;NA;NA;NA;NA;NA;NA
Changariya;7;8;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Changariya;7;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;7;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Changariya;8;6;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;8;7;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Changariya;8;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Changariya;8;9;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Changariya;8;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;9;6;1500;w;1;0;5500;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Changariya;9;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Changariya;9;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Changariya;9;9;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Changariya;9;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Changariya;10;6;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Changariya;10;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Changariya;10;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Changariya;10;9;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Changariya;10;10;2900;w;1;0;5500;15000;100;15100;com;NA;NA;NA;NA;NA;NA
Changariya;11;6;1800;g;0;1;3000;0;1200;1200;com;NA;NA;NA;NA;NA;NA
Changariya;11;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Changariya;11;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Changariya;11;9;1500;g;0;1;3000;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Changariya;11;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;12;6;300;g;0;1;3000;0;2700;2700;com;NA;NA;NA;NA;NA;NA
Changariya;12;7;1200;g;0;1;3000;0;1800;1800;com;NA;NA;NA;NA;NA;NA
Changariya;12;8;2100;w;1;0;5500;0;900;900;com;NA;NA;NA;NA;NA;NA
Changariya;12;9;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Changariya;12;10;2500;w;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Changariya;13;6;1500;w;1;0;5500;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Changariya;13;7;2700;g;0;1;3000;0;300;300;com;NA;NA;NA;NA;NA;NA
Changariya;13;8;2800;w;1;0;5500;0;200;200;com;NA;NA;NA;NA;NA;NA
Changariya;13;9;1500;w;1;0;5500;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Changariya;13;10;2800;w;1;0;5500;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Changariya;14;6;1500;w;1;0;5500;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Changariya;14;7;2700;w;1;0;5500;0;300;300;com;NA;NA;NA;NA;NA;NA
Changariya;14;8;2800;w;1;0;5500;0;200;200;com;NA;NA;NA;NA;NA;NA
Changariya;14;9;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Changariya;14;10;2900;w;1;0;5500;0;100;100;com;NA;NA;NA;NA;NA;NA
Changariya;1;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;2;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;2;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;2;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;2;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;2;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;3;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;3;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;3;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;3;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;3;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;4;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;4;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;4;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;4;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;4;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;5;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Changariya;5;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
