site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Bariha;13;3;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Bariha;13;4;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Bariha;13;5;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Bariha;14;1;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Bariha;14;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Bariha;14;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Bariha;14;4;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Bariha;14;5;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Bariha;1;6;1600;g;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Bariha;1;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Bariha;1;8;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;1;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;1;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Bariha;2;6;1300;g;0;1;3000;13000;1700;14700;com;NA;NA;NA;NA;NA;NA
Bariha;2;7;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Bariha;2;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Bariha;2;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Bariha;2;10;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Bariha;3;6;1700;w;1;0;5500;15000;1300;16300;com;NA;NA;NA;NA;NA;NA
Bariha;3;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Bariha;3;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;3;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;3;10;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Bariha;4;6;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Bariha;4;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Bariha;4;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Bariha;4;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
